model,seed,metric,estimate,ci_low,ci_high
RGB12_GROUPED,42,SRC,0.26386922194926776,0.20186695409424116,0.32318586077808925
RGB12_GROUPED,42,Pearson,0.278830114065838,0.21814956369284755,0.3365623822198809
RGB12_GROUPED,42,MAE,1.5644561052322388,1.5035427927970886,1.628622567653656
RGB29_GROUPED,42,SRC,0.30467726661935657,0.2411354784190768,0.3637497146155816
RGB29_GROUPED,42,Pearson,0.3284844286544528,0.2669859725555166,0.38590107107755983
RGB29_GROUPED,42,MAE,1.5254205465316772,1.4616583943367005,1.590566936135292
POSE29_GROUPED,42,SRC,0.5523509890878348,0.5056501233724543,0.595023679698726
POSE29_GROUPED,42,Pearson,0.5558675173433101,0.5113885167593615,0.597958308674645
POSE29_GROUPED,42,MAE,1.2456156015396118,1.1882438153028487,1.3035484582185743
RGBPOSE29_GROUPED,42,SRC,0.36033279610691765,0.2998131877330466,0.4179703694102031
RGBPOSE29_GROUPED,42,Pearson,0.3950481773799702,0.3351532837106994,0.4506720201151576
RGBPOSE29_GROUPED,42,MAE,1.385736107826233,1.319519829750061,1.4535653382539748
